Date,Price,Open,High,Low,Vol.,Change %,Name
5-Jul-21,"33,687.80","35,297.00","35,300.50","33,164.10",88.36K,-4.56%,Bitcoin
4-Jul-21,"35,298.20","34,742.80","35,957.60","34,740.10",56.13K,1.60%,Bitcoin
3-Jul-21,"34,742.80","33,814.20","34,909.80","33,363.30",55.69K,2.75%,Bitcoin
2-Jul-21,"33,813.40","33,542.20","33,925.90","32,734.60",78.93K,0.80%,Bitcoin
1-Jul-21,"33,543.60","35,030.70","35,032.70","32,839.20",27.41K,-4.23%,Bitcoin
30-Jun-21,"35,026.90","35,832.60","36,089.50","34,126.60",107.07K,-2.25%,Bitcoin
29-Jun-21,"35,834.70","34,477.30","36,590.30","34,247.60",97.27K,3.94%,Bitcoin
28-Jun-21,"34,475.90","34,682.20","35,231.20","33,944.90",112.00K,-0.58%,Bitcoin
27-Jun-21,"34,678.50","32,247.10","34,685.50","32,041.70",148.80K,7.55%,Bitcoin
26-Jun-21,"32,243.40","31,592.10","32,643.00","30,206.90",156.67K,2.06%,Bitcoin
25-Jun-21,"31,594.00","34,660.50","35,490.90","31,337.90",193.43K,-8.86%,Bitcoin
24-Jun-21,"34,665.80","33,678.10","35,249.90","32,356.70",119.25K,2.94%,Bitcoin
23-Jun-21,"33,674.30","32,498.30","34,784.30","31,736.50",173.34K,3.62%,Bitcoin
22-Jun-21,"32,496.40","31,682.70","33,272.50","28,901.80",309.65K,2.54%,Bitcoin
21-Jun-21,"31,692.00","35,597.90","35,708.40","31,284.10",256.87K,-10.97%,Bitcoin
20-Jun-21,"35,595.80","35,510.90","36,097.90","33,378.00",137.48K,0.23%,Bitcoin
19-Jun-21,"35,513.40","35,770.00","36,357.30","34,845.50",105.46K,-0.66%,Bitcoin
18-Jun-21,"35,749.40","38,045.50","38,166.00","35,198.50",102.84K,-6.05%,Bitcoin
17-Jun-21,"38,052.00","38,337.80","39,529.90","37,425.30",109.58K,-0.74%,Bitcoin
16-Jun-21,"38,336.00","40,148.10","40,494.40","38,156.40",123.52K,-4.53%,Bitcoin
15-Jun-21,"40,156.10","40,522.50","41,318.00","39,589.90",117.55K,-0.92%,Bitcoin
14-Jun-21,"40,529.40","39,024.10","40,970.40","38,769.90",157.35K,3.86%,Bitcoin
13-Jun-21,"39,022.90","35,467.50","39,321.60","34,827.00",123.32K,10.02%,Bitcoin
12-Jun-21,"35,467.50","37,334.40","37,437.30","34,703.30",87.73K,-4.95%,Bitcoin
11-Jun-21,"37,314.60","36,654.30","37,641.10","36,003.30",109.15K,1.81%,Bitcoin
10-Jun-21,"36,649.40","37,375.20","38,340.80","35,824.00",154.32K,-1.83%,Bitcoin
9-Jun-21,"37,332.20","33,385.50","37,517.60","32,428.60",209.82K,11.83%,Bitcoin
8-Jun-21,"33,382.90","33,574.60","34,047.80","31,158.10",193.54K,-0.58%,Bitcoin
7-Jun-21,"33,578.00","35,815.40","36,754.60","33,410.10",119.50K,-6.25%,Bitcoin
6-Jun-21,"35,815.40","35,518.70","36,434.00","35,265.30",62.20K,0.83%,Bitcoin
5-Jun-21,"35,520.00","36,841.20","37,887.60","34,832.00",101.48K,-3.61%,Bitcoin
4-Jun-21,"36,851.30","39,191.40","39,255.40","35,659.90",127.71K,-5.96%,Bitcoin
3-Jun-21,"39,187.30","37,555.70","39,462.30","37,193.60",106.44K,4.34%,Bitcoin
2-Jun-21,"37,555.80","36,687.70","38,199.90","35,981.10",96.89K,2.37%,Bitcoin
1-Jun-21,"36,687.60","37,294.30","37,850.30","35,742.70",113.48K,-1.64%,Bitcoin
31-May-21,"37,298.60","35,644.00","37,480.70","34,213.20",131.70K,4.62%,Bitcoin
30-May-21,"35,652.80","34,589.30","36,388.60","33,441.00",104.18K,3.09%,Bitcoin
29-May-21,"34,584.60","35,664.50","37,227.10","33,664.20",160.43K,-3.02%,Bitcoin
28-May-21,"35,662.50","38,543.20","38,844.10","34,772.40",199.58K,-7.17%,Bitcoin
27-May-21,"38,417.30","39,249.00","40,322.20","37,190.80",122.93K,-2.12%,Bitcoin
26-May-21,"39,249.20","38,375.70","40,750.00","37,847.00",153.80K,2.27%,Bitcoin
25-May-21,"38,378.30","38,753.60","39,740.80","36,540.70",163.01K,-0.96%,Bitcoin
24-May-21,"38,750.60","34,720.30","39,851.70","34,474.60",244.88K,11.74%,Bitcoin
23-May-21,"34,679.70","37,446.80","38,248.70","31,192.40",325.73K,-7.39%,Bitcoin
22-May-21,"37,448.30","37,291.00","38,776.00","35,314.90",185.83K,0.40%,Bitcoin
21-May-21,"37,297.40","40,611.20","42,108.30","33,592.30",315.50K,-8.40%,Bitcoin
20-May-21,"40,717.20","36,706.80","42,425.90","35,010.40",269.75K,10.88%,Bitcoin
19-May-21,"36,720.50","42,898.30","43,516.60","30,261.70",607.10K,-14.40%,Bitcoin
18-May-21,"42,897.30","43,538.50","45,770.90","42,293.90",154.96K,-1.48%,Bitcoin
17-May-21,"43,541.30","46,424.20","46,545.40","42,201.50",274.76K,-6.21%,Bitcoin
